Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,,Year,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
0.48868986875,0.31733795964835000,0.8785246123863310,2.424208527021970,0.811485184375,0.6011523725476730,1.5776874615262300,3.065765692474230,1.633119746875,1.1568009248561600,3.089779887912350,6.86298105030398,1891.148529625,1417.8128222189300,3746.103485294560,7464.549375001740,49.402841640625,37.87327714680770,98.98496816205070,181.8030389227350,Cerveza inglesa,2022,19.94479041875,15.570546093214700,39.86199505584890,62.666330946200000
0.3870113076923080,0.06726478497993200,0.20759935280408800,0.0791032334894258,7.683045153846150,1.2968698546443200,3.6084332883635500,1.495296741659080,18.723074738461500,3.165000479196380,8.754301324241740,3.651263041038780,402211.9607692310,67620.1427571786,182707.58528509000,77714.97029880610,6846.472596923080,1151.9538672209100,3125.971106299360,1324.7011092583500,Mantequilla de almendras,2022,252.78822138461500,42.62623473470380,117.24638657132800,49.10161408808200
0.6558875395161290,2.2222299975528000,13.595511965622200,4.057470177419110,1.3701058564516100,2.6750625971057300,12.687839328451100,4.60053028149088,4.1488755943548400,9.317069497487660,44.238944523798300,17.661514327172700,99916.41729459680,282550.644552112,1471678.8944151100,431118.0471773750,1246.9737829725800,2766.2581215345000,13432.324330324200,4286.672871905250,Leche de almendras,2022,50.40110767096770,99.76636740905720,477.1421386974360,190.7327969035500
0.6023678597222220,0.10502862720476500,0.32833498842522500,0.11936143425795900,8.230926805555560,1.4233757744363900,4.261039936791200,1.6101363879531200,18.59575452361110,3.2118900561844400,9.537691498486470,3.6394940886716800,372799.1010631940,64275.14954852300,188994.71790108200,72908.19607790210,6413.314596694450,1106.0642145054400,3258.0857331211000,1254.12411325783,Almendras,2022,261.7185010138890,45.213038485392800,134.3999133570130,51.43859283373580
0.45837840000000000,0.9551837119924710,29.152212256410300,19.754979485294100,0.66062946,1.3828390804615900,43.23215788461540,26.246742904411800,1.9116574100000000,3.7963684773779000,86.3212136051282,147.61472919117600,3286.8296165,6754.678597162990,177760.04540461500,199118.25813308800,122.318340205,245.72380859734200,6160.521064653850,8566.814616323530,jugo de manzana,2022,11.021175755000000,22.752032083455800,668.4270158538460,551.5743742647060
1.2449736986040200,0.41818179222285700,4.704171323715480,2.5854921310929000,1.7651649809258600,0.5973741370294770,6.471803882039040,3.819800460812730,6.619579523850230,2.0977765318025100,22.645553386157900,10.973712491672400,8193.821802142630,2607.8067266257900,28306.316032770000,15291.307594976100,396.3874492328510,123.50932930247600,1332.9830658836400,654.0484092461930,Tarta de manzana,2022,48.437329546348200,17.764296171007200,176.2883950296460,88.504053266111
0.5073538973544970,0.8981880142107920,13.442715878318300,25.59441044847310,0.6689985968253970,1.2050805620370400,18.667989525523300,36.38627733130390,1.2055796386243400,2.0480576058479700,32.20926993782640,59.33308322613810,2469.089299153440,4439.5934629492100,68408.60791670120,133059.53429268600,90.3342268005291,157.48879557562700,2530.7144981971400,4607.39116572202,manzanas,2022,10.900282013756600,18.706499115185500,294.4701014536080,553.1636423901880
1.3821050900000000,0.761619667788208,24.97261475984150,56.5861996222607,1.368510216666670,0.7694789971588810,24.387251689669000,60.947300426660100,11.446766741666700,6.730958337946770,200.27647748409300,501.5553436491290,24526.64768666670,14578.83890054650,412421.0197847590,1129828.6994668000,851.0487645500000,492.29612685583700,14911.832671569100,38160.83118765930,Mermelada de albaricoque,2022,46.48436817,26.15416502707540,828.8950117843300,2091.749371610310
0.9256918166666670,2.7912292251248000,3.853152283717560,16.707521276950300,1.4017694694444400,3.909719057026030,5.424796888373030,20.964724434106100,4.001619922222220,11.004208183177700,15.781751906437200,72.943770051146,25692.92859972220,81275.70124159670,108253.43401079000,419040.926532248,310.51426297222200,966.8926714987610,1299.8577038834700,5221.708745434590,Espárragos,2022,22.55513905,65.94105636336440,90.99448130704020,327.67658268402000
0.921227093548387,1.8537084481978500,4.984961745441380,11.067427565321100,1.2489312903225800,2.5133631030170200,6.758265297993170,15.006284667051800,2.671237738709680,5.3766513097538800,14.45480736249000,32.10367856280190,32696.893522580600,65694.89864314280,176920.21502976900,392048.9677042740,367.41429932258100,738.4760185227800,1988.0751158145500,4407.497414773880,Aguacates,2022,24.449101938709700,49.191411205352000,132.29890177091800,293.6837514324660
19.314209012302400,6.81860721620053,9.157924743550420,11.273880743846700,42.33222878321780,14.792840973233800,18.106126648094100,23.911078295616300,87.74693880857230,31.268546689940700,45.93934604737550,52.879308118034500,56859.519503844300,20370.427341332200,31351.377962734200,34730.648296290100,1649.7112903475900,588.2346114157520,912.0397239558190,991.9456369598490,Tocino,2022,461.2278506816400,163.6028373484700,214.70385993994100,274.5376736157260
